created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2021-08-27 16:55:24 +08,1,32.19,63.56,,,,
2021-08-27 16:55:41 +08,2,32.16,63.67,,,,
2021-08-27 16:57:08 +08,3,32.19,63.51,,,,
2021-08-27 17:18:09 +08,4,32.37,63.60,,,,
2021-08-27 17:18:44 +08,5,32.30,63.72,,,,
2021-08-27 17:22:49 +08,6,32.56,62.77,,,,
2021-08-27 17:23:05 +08,7,32.58,62.80,,,,
2021-08-27 17:23:22 +08,8,32.58,62.55,,,,
2021-08-27 17:23:39 +08,9,32.61,62.39,,,,
2021-08-27 17:23:56 +08,10,32.63,62.27,,,,
2021-08-27 17:24:13 +08,11,32.62,62.17,,,,
2021-08-27 17:24:30 +08,12,32.63,62.12,,,,
2021-08-27 17:24:47 +08,13,32.62,62.11,,,,
2021-08-27 17:25:22 +08,14,32.62,62.62,,,,
2021-08-27 17:25:38 +08,15,32.67,62.53,,,,
2021-08-27 17:25:55 +08,16,32.69,62.40,,,,
2021-08-27 17:30:53 +08,17,32.57,63.08,,,,
2021-08-27 17:31:27 +08,18,32.57,62.32,,,,
2021-08-27 17:33:47 +08,19,32.43,62.36,,,,
2021-08-27 17:35:49 +08,20,32.40,61.26,,,,
2021-08-27 17:43:42 +08,21,32.11,65.39,,,,
2021-08-27 17:44:52 +08,22,32.13,65.39,,,,
2021-08-27 17:45:08 +08,23,32.12,65.52,,,,
2021-08-27 17:50:25 +08,24,32.03,65.54,,,,
2021-08-27 17:51:16 +08,25,32.03,65.44,,,,
2021-08-27 17:51:34 +08,26,32.03,65.36,,,,
2021-08-27 17:51:51 +08,27,32.03,65.55,,,,
2021-08-27 17:52:07 +08,28,32.02,65.40,,,,
2021-08-27 17:52:25 +08,29,32.03,65.43,,,,
2021-08-27 17:52:42 +08,30,32.03,65.30,,,,
2021-08-27 17:52:58 +08,31,32.03,65.26,,,,
2021-08-27 17:55:01 +08,32,32.19,61.17,,,,
2021-08-27 17:55:32 +08,33,32.23,61.88,,,,
2021-08-27 17:55:49 +08,34,32.25,61.36,,,,
2021-08-27 17:56:06 +08,35,32.26,60.98,,,,
2021-08-27 17:56:23 +08,36,32.28,61.41,,,,
2021-08-27 17:57:33 +08,37,32.23,64.20,,,,
2021-08-27 17:58:07 +08,38,32.19,64.50,,,,
2021-08-27 17:58:25 +08,39,32.17,64.59,,,,
2021-08-27 17:58:59 +08,40,32.12,65.11,,,,
2021-08-27 18:00:10 +08,41,32.03,64.88,,,,
2021-08-27 18:00:26 +08,42,32.01,65.04,,,,
2021-08-27 18:00:42 +08,43,31.99,65.17,,,,
2021-08-27 18:00:59 +08,44,31.96,64.93,,,,
2021-08-27 18:01:52 +08,45,31.95,64.71,,,,
2021-08-27 18:08:15 +08,46,31.88,65.04,,,,
2021-08-27 18:08:32 +08,47,31.89,65.07,,,,
2021-08-27 18:08:49 +08,48,31.89,65.14,,,,
2021-08-27 18:09:05 +08,49,31.88,64.79,,,,
2021-08-27 18:09:22 +08,50,31.90,65.20,,,,
2021-08-27 18:09:39 +08,51,31.88,64.72,,,,
2021-08-27 18:09:56 +08,52,31.89,65.01,,,,
2021-08-27 18:10:14 +08,53,31.89,64.90,,,,
